day_hour,clientip,id,no_get,no_post,no_head
2019-01-31 23,91.99.72.459,1,0,1,0
2019-01-31 23,31.56.96.526,2,0,2,0
2019-01-31 23,66.249.66.787,1,0,1,0
2019-01-31 23,31.56.96.755,2,0,2,0
2019-01-31 23,91.99.72.777,1,0,1,0
2019-01-31 23,66.249.66.960,1,0,1,0
2019-01-31 23,66.249.66.1057,1,0,1,0
2019-01-31 23,66.249.66.1007,1,0,1,0
2019-01-31 23,31.56.96.92,2,0,2,0
2019-01-31 23,31.56.96.289,2,0,2,0
2019-01-31 23,54.36.149.355,1,0,1,0
2019-01-31 23,54.36.149.375,1,0,1,0
2019-01-31 23,54.36.149.380,1,0,1,0
2019-01-31 23,91.99.72.367,1,0,1,0
2019-01-31 23,54.36.149.436,1,0,1,0
2019-01-31 23,91.99.72.421,1,0,1,0
2019-01-31 23,66.249.66.667,1,0,1,0
2019-01-31 23,31.56.96.563,2,0,2,0
2019-01-31 23,31.56.96.591,2,0,2,0
2019-01-31 23,31.56.96.632,2,0,2,0
2019-01-31 23,66.249.66.810,1,0,1,0
2019-01-31 23,40.77.167.787,5,0,5,0
2019-01-31 23,54.36.149.807,1,0,1,0
2019-01-31 23,31.56.96.825,2,0,2,0
2019-01-31 23,66.249.66.997,1,0,1,0
2019-01-31 23,31.56.96.856,2,0,2,0
2019-01-31 23,54.36.149.897,1,0,1,0
2019-01-31 23,54.36.149.908,1,0,1,0
2019-01-31 23,66.249.66.1071,1,0,1,0
2019-01-31 23,91.99.72.904,1,0,1,0
2019-01-22 3,207.46.13.104,5640,5640,0,0
2019-01-30 11,66.249.66.202,1,0,1,0
2019-01-31 16,91.99.72.28,1,0,1,0
2019-01-31 23,91.99.72.46,1,0,1,0
2019-01-31 23,91.99.72.112,1,0,1,0
2019-01-31 23,66.249.66.322,1,0,1,0
2019-01-31 23,66.249.66.500,1,0,1,0
2019-01-31 23,54.36.149.410,1,0,1,0
2019-01-31 23,31.56.96.451,2,0,2,0
2019-01-31 23,54.36.149.451,1,0,1,0
2019-01-31 23,54.36.149.492,1,0,1,0
2019-01-31 23,66.249.66.647,1,0,1,0
2019-01-31 23,40.77.167.678,5,0,5,0
2019-01-31 23,66.249.66.796,1,0,1,0
2019-01-31 23,31.56.96.671,2,0,2,0
2019-01-31 23,40.77.167.755,5,0,5,0
2019-01-31 23,54.36.149.679,1,0,1,0
2019-01-31 23,91.99.72.658,1,0,1,0
2019-01-31 23,40.77.167.796,5,0,5,0
2019-01-31 23,66.249.66.891,1,0,1,0
2019-01-31 23,91.99.72.818,1,0,1,0
2019-01-31 23,40.77.167.944,5,0,5,0
2019-01-31 23,31.56.96.906,2,0,2,0
2019-01-31 23,54.36.149.906,1,0,1,0
2019-01-31 23,40.77.167.1052,5,0,5,0
2019-01-31 23,66.249.66.247,1,0,1,0
2019-01-31 23,54.36.149.161,1,0,1,0
2019-01-31 23,31.56.96.174,2,0,2,0
2019-01-31 23,91.99.72.154,1,0,1,0
2019-01-31 23,66.249.66.342,1,0,1,0
2019-01-31 23,66.249.66.344,1,0,1,0
2019-01-31 23,40.77.167.457,5,0,5,0
2019-01-31 23,31.56.96.421,2,0,2,0
2019-01-31 23,66.249.66.566,1,0,1,0
2019-01-31 23,91.99.72.414,1,0,1,0
2019-01-31 23,54.36.149.442,1,0,1,0
2019-01-31 23,31.56.96.516,2,0,2,0
2019-01-31 23,31.56.96.551,2,0,2,0
2019-01-31 23,54.36.149.576,1,0,1,0
2019-01-31 23,31.56.96.633,2,0,2,0
2019-01-31 23,91.99.72.663,1,0,1,0
2019-01-31 23,54.36.149.697,1,0,1,0
2019-01-31 23,91.99.72.702,1,0,1,0
2019-01-31 23,54.36.149.761,1,0,1,0
2019-01-31 23,40.77.167.881,5,0,5,0
2019-01-31 23,66.249.66.959,1,0,1,0
2019-01-31 23,40.77.167.895,5,0,5,0
2019-01-31 23,31.56.96.826,2,0,2,0
2019-01-31 23,31.56.96.853,2,0,2,0
2019-01-31 23,54.36.149.871,1,0,1,0
2019-01-31 23,40.77.167.1000,5,0,5,0
2019-01-31 23,40.77.167.1017,5,0,5,0
2019-01-31 23,66.249.66.1084,1,0,1,0
2019-01-30 11,31.56.96.59,2,0,2,0
2019-01-31 23,91.99.72.38,1,0,1,0
2019-01-31 23,40.77.167.299,5,0,5,0
2019-01-31 23,31.56.96.262,2,0,2,0
2019-01-31 23,40.77.167.420,5,0,5,0
2019-01-31 23,91.99.72.317,1,0,1,0
2019-01-31 23,54.36.149.388,1,0,1,0
2019-01-31 23,40.77.167.494,5,0,5,0
2019-01-31 23,31.56.96.477,2,0,2,0
2019-01-31 23,91.99.72.483,1,0,1,0
2019-01-31 23,31.56.96.558,2,0,2,0
2019-01-31 23,31.56.96.585,2,0,2,0
2019-01-31 23,66.249.66.857,1,0,1,0
2019-01-31 23,40.77.167.849,5,0,5,0
2019-01-31 23,54.36.149.810,1,0,1,0
2019-01-31 23,91.99.72.796,1,0,1,0
2019-01-31 23,66.249.66.1058,1,0,1,0
2019-01-31 23,91.99.72.938,1,0,1,0
2019-01-22 3,172.20.2.174,940,940,0,0
2019-01-31 23,40.77.167.158,5,0,5,0
2019-01-31 23,54.36.149.78,1,0,1,0
2019-01-31 23,40.77.167.235,5,0,5,0
2019-01-31 23,54.36.149.217,1,0,1,0
2019-01-31 23,54.36.149.267,1,0,1,0
2019-01-31 23,54.36.149.313,1,0,1,0
2019-01-31 23,66.249.66.486,1,0,1,0
2019-01-31 23,31.56.96.373,2,0,2,0
2019-01-31 23,91.99.72.392,1,0,1,0
2019-01-31 23,31.56.96.517,2,0,2,0
2019-01-31 23,91.99.72.529,1,0,1,0
2019-01-31 23,40.77.167.662,5,0,5,0
2019-01-31 23,91.99.72.589,1,0,1,0
2019-01-31 23,31.56.96.699,2,0,2,0
2019-01-31 23,91.99.72.665,1,0,1,0
2019-01-31 23,31.56.96.769,2,0,2,0
2019-01-31 23,31.56.96.839,2,0,2,0
2019-01-31 23,31.56.96.932,2,0,2,0
2019-01-31 23,40.77.167.179,5,0,5,0
2019-01-31 23,40.77.167.216,5,0,5,0
2019-01-31 23,40.77.167.326,5,0,5,0
2019-01-31 23,40.77.167.349,5,0,5,0
2019-01-31 23,54.36.149.283,1,0,1,0
2019-01-31 23,40.77.167.397,5,0,5,0
2019-01-31 23,91.99.72.290,1,0,1,0
2019-01-31 23,91.99.72.335,1,0,1,0
2019-01-31 23,66.249.66.520,1,0,1,0
2019-01-31 23,66.249.66.541,1,0,1,0
2019-01-31 23,31.56.96.401,2,0,2,0
2019-01-31 23,91.99.72.376,1,0,1,0
2019-01-31 23,66.249.66.562,1,0,1,0
2019-01-31 23,91.99.72.385,1,0,1,0
2019-01-31 23,66.249.66.580,1,0,1,0
2019-01-31 23,31.56.96.452,2,0,2,0
2019-01-31 23,31.56.96.488,2,0,2,0
2019-01-31 23,91.99.72.464,1,0,1,0
2019-01-31 23,66.249.66.657,1,0,1,0
2019-01-31 23,31.56.96.523,2,0,2,0
2019-01-31 23,66.249.66.742,1,0,1,0
2019-01-31 23,91.99.72.572,1,0,1,0
2019-01-31 23,91.99.72.598,1,0,1,0
2019-01-31 23,31.56.96.669,2,0,2,0
2019-01-31 23,91.99.72.698,1,0,1,0
2019-01-31 23,54.36.149.780,1,0,1,0
2019-01-31 23,54.36.149.806,1,0,1,0
2019-01-31 23,66.249.66.988,1,0,1,0
2019-01-31 23,66.249.66.992,1,0,1,0
2019-01-31 23,91.99.72.849,1,0,1,0
2019-01-31 23,31.56.96.921,2,0,2,0
2019-01-31 23,54.36.149.914,1,0,1,0
2019-01-25 6,40.77.167.132,5,0,5,0
2019-01-31 23,54.36.149.66,1,0,1,0
2019-01-31 23,54.36.149.99,1,0,1,0
2019-01-31 23,54.36.149.165,1,0,1,0
2019-01-31 23,54.36.149.225,1,0,1,0
2019-01-31 23,54.36.149.245,1,0,1,0
2019-01-31 23,40.77.167.416,5,0,5,0
2019-01-31 23,66.249.66.615,1,0,1,0
2019-01-31 23,40.77.167.554,5,0,5,0
2019-01-31 23,31.56.96.489,2,0,2,0
2019-01-31 23,66.249.66.646,1,0,1,0
2019-01-31 23,54.36.149.545,1,0,1,0
2019-01-31 23,31.56.96.581,2,0,2,0
2019-01-31 23,31.56.96.608,2,0,2,0
2019-01-31 23,40.77.167.705,5,0,5,0
2019-01-31 23,91.99.72.599,1,0,1,0
2019-01-31 23,31.56.96.636,2,0,2,0
2019-01-31 23,40.77.167.726,5,0,5,0
2019-01-31 23,31.56.96.692,2,0,2,0
2019-01-31 23,40.77.167.848,5,0,5,0
2019-01-31 23,54.36.149.818,1,0,1,0
2019-01-31 23,91.99.72.908,1,0,1,0
2019-01-31 23,40.77.167.1025,5,0,5,0
2019-01-31 23,91.99.72.923,1,0,1,0
2019-01-27 8,91.99.72.20,1,0,1,0
2019-01-31 23,40.77.167.161,5,0,5,0
2019-01-31 23,31.56.96.114,2,0,2,0
2019-01-31 23,54.36.149.138,1,0,1,0
2019-01-31 23,91.99.72.114,1,0,1,0
2019-01-31 23,31.56.96.223,2,0,2,0
2019-01-31 23,66.249.66.369,1,0,1,0
2019-01-31 23,40.77.167.383,5,0,5,0
2019-01-31 23,66.249.66.511,1,0,1,0
2019-01-31 23,31.56.96.393,2,0,2,0
2019-01-31 23,91.99.72.413,1,0,1,0
2019-01-31 23,91.99.72.442,1,0,1,0
2019-01-31 23,40.77.167.560,5,0,5,0
2019-01-31 23,54.36.149.478,1,0,1,0
2019-01-31 23,54.36.149.565,1,0,1,0
2019-01-31 23,54.36.149.578,1,0,1,0
2019-01-31 23,54.36.149.598,1,0,1,0
2019-01-31 23,31.56.96.624,2,0,2,0
2019-01-31 23,40.77.167.716,5,0,5,0
2019-01-31 23,66.249.66.824,1,0,1,0
2019-01-31 23,31.56.96.693,2,0,2,0
2019-01-31 23,31.56.96.718,2,0,2,0
2019-01-31 23,40.77.167.802,5,0,5,0
2019-01-31 23,31.56.96.726,2,0,2,0
2019-01-31 23,54.36.149.724,1,0,1,0
2019-01-31 23,66.249.66.888,1,0,1,0
2019-01-31 23,54.36.149.741,1,0,1,0
2019-01-31 23,66.249.66.944,1,0,1,0
2019-01-31 23,91.99.72.778,1,0,1,0
2019-01-31 23,54.36.149.837,1,0,1,0
2019-01-31 23,54.36.149.869,1,0,1,0
2019-01-31 23,31.56.96.908,2,0,2,0
2019-01-31 23,31.56.96.916,2,0,2,0
2019-01-31 23,54.36.149.913,1,0,1,0
2019-01-31 23,40.77.167.1014,5,0,5,0
2019-01-31 23,31.56.96.955,2,0,2,0
2019-01-31 23,91.99.72.927,1,0,1,0
2019-01-31 23,40.77.167.209,5,0,5,0
2019-01-31 23,40.77.167.227,5,0,5,0
2019-01-31 23,91.99.72.140,1,0,1,0
2019-01-31 23,54.36.149.237,1,0,1,0
2019-01-31 23,54.36.149.244,1,0,1,0
2019-01-31 23,66.249.66.403,1,0,1,0
2019-01-31 23,66.249.66.628,1,0,1,0
2019-01-31 23,91.99.72.641,1,0,1,0
2019-01-31 23,31.56.96.720,2,0,2,0
2019-01-31 23,66.249.66.869,1,0,1,0
2019-01-31 23,31.56.96.736,2,0,2,0
2019-01-31 23,40.77.167.824,5,0,5,0
2019-01-31 23,54.36.149.757,1,0,1,0
2019-01-31 23,54.36.149.759,1,0,1,0
2019-01-31 23,91.99.72.736,1,0,1,0
2019-01-31 23,91.99.72.770,1,0,1,0
2019-01-31 23,91.99.72.780,1,0,1,0
2019-01-31 23,54.36.149.817,1,0,1,0
2019-01-31 23,31.56.96.950,2,0,2,0
2019-01-31 23,66.249.66.1014,1,0,1,0
2019-01-22 3,204.18.198.248,9400,9400,0,0
2019-01-31 23,66.249.66.233,1,0,1,0
2019-01-31 23,54.36.149.117,1,0,1,0
2019-01-31 23,91.99.72.97,1,0,1,0
2019-01-31 23,66.249.66.293,1,0,1,0
2019-01-31 23,66.249.66.378,1,0,1,0
2019-01-31 23,91.99.72.271,1,0,1,0
2019-01-31 23,31.56.96.322,2,0,2,0
2019-01-31 23,66.249.66.513,1,0,1,0
2019-01-31 23,54.36.149.403,1,0,1,0
2019-01-31 23,66.249.66.588,1,0,1,0
2019-01-31 23,66.249.66.621,1,0,1,0
2019-01-31 23,54.36.149.621,1,0,1,0
2019-01-31 23,31.56.96.723,2,0,2,0
2019-01-31 23,66.249.66.870,1,0,1,0
2019-01-31 23,91.99.72.712,1,0,1,0
2019-01-31 23,66.249.66.908,1,0,1,0
2019-01-31 23,31.56.96.768,2,0,2,0
2019-01-31 23,66.249.66.969,1,0,1,0
2019-01-31 23,91.99.72.802,1,0,1,0
2019-01-31 23,40.77.167.956,5,0,5,0
2019-01-31 23,31.56.96.903,2,0,2,0
2019-01-31 23,54.36.149.940,1,0,1,0
2019-01-31 14,40.77.167.140,5,0,5,0
2019-01-31 23,31.56.96.72,2,0,2,0
2019-01-31 23,66.249.66.218,1,0,1,0
2019-01-31 23,54.36.149.98,1,0,1,0
2019-01-31 23,91.99.72.96,1,0,1,0
2019-01-31 23,31.56.96.169,2,0,2,0
2019-01-31 23,91.99.72.133,1,0,1,0
2019-01-31 23,31.56.96.178,2,0,2,0
2019-01-31 23,66.249.66.430,1,0,1,0
2019-01-31 23,91.99.72.295,1,0,1,0
2019-01-31 23,40.77.167.411,5,0,5,0
2019-01-31 23,66.249.66.485,1,0,1,0
2019-01-31 23,40.77.167.429,5,0,5,0
2019-01-31 23,54.36.149.441,1,0,1,0
2019-01-31 23,31.56.96.476,2,0,2,0
2019-01-31 23,54.36.149.491,1,0,1,0
2019-01-31 23,40.77.167.611,5,0,5,0
2019-01-31 23,66.249.66.748,1,0,1,0
2019-01-31 23,54.36.149.605,1,0,1,0
2019-01-31 23,91.99.72.645,1,0,1,0
2019-01-31 23,40.77.167.891,5,0,5,0
2019-01-31 23,54.36.149.809,1,0,1,0
2019-01-31 23,66.249.66.964,1,0,1,0
2019-01-31 23,66.249.66.990,1,0,1,0
2019-01-31 23,31.56.96.852,2,0,2,0
2019-01-31 23,54.36.149.879,1,0,1,0
2019-01-31 23,40.77.167.972,5,0,5,0
2019-01-31 23,31.56.96.931,2,0,2,0
2019-01-31 23,91.99.72.943,1,0,1,0
2019-01-31 23,40.77.167.155,5,0,5,0
2019-01-31 23,40.77.167.222,5,0,5,0
2019-01-31 23,91.99.72.109,1,0,1,0
2019-01-31 23,66.249.66.320,1,0,1,0
2019-01-31 23,91.99.72.172,1,0,1,0
2019-01-31 23,91.99.72.175,1,0,1,0
2019-01-31 23,31.56.96.312,2,0,2,0
2019-01-31 23,66.249.66.494,1,0,1,0
2019-01-31 23,31.56.96.362,2,0,2,0
2019-01-31 23,31.56.96.365,2,0,2,0
2019-01-31 23,54.36.149.390,1,0,1,0
2019-01-31 23,40.77.167.535,5,0,5,0
2019-01-31 23,54.36.149.496,1,0,1,0
2019-01-31 23,31.56.96.609,2,0,2,0
2019-01-31 23,40.77.167.913,5,0,5,0
2019-01-31 23,54.36.149.836,1,0,1,0
2019-01-31 23,31.56.96.858,2,0,2,0
2019-01-31 23,54.36.149.88,1,0,1,0
2019-01-31 23,40.77.167.196,5,0,5,0
2019-01-31 23,40.77.167.245,5,0,5,0
2019-01-31 23,91.99.72.146,1,0,1,0
2019-01-31 23,66.249.66.383,1,0,1,0
2019-01-31 23,40.77.167.345,5,0,5,0
2019-01-31 23,66.249.66.547,1,0,1,0
2019-01-31 23,66.249.66.584,1,0,1,0
2019-01-31 23,66.249.66.595,1,0,1,0
2019-01-31 23,31.56.96.458,2,0,2,0
2019-01-31 23,66.249.66.638,1,0,1,0
2019-01-31 23,40.77.167.588,5,0,5,0
2019-01-31 23,40.77.167.590,5,0,5,0
2019-01-31 23,40.77.167.605,5,0,5,0
2019-01-31 23,91.99.72.496,1,0,1,0
2019-01-31 23,66.249.66.765,1,0,1,0
2019-01-31 23,31.56.96.732,2,0,2,0
2019-01-31 23,66.249.66.911,1,0,1,0
2019-01-31 23,31.56.96.818,2,0,2,0
2019-01-31 23,91.99.72.813,1,0,1,0
2019-01-31 23,66.249.66.1030,1,0,1,0
2019-01-31 23,31.56.96.953,2,0,2,0
2019-01-31 23,91.99.72.918,1,0,1,0
2019-01-31 15,54.36.149.53,1,0,1,0
2019-01-31 23,31.56.96.134,2,0,2,0
2019-01-31 23,31.56.96.164,2,0,2,0
2019-01-31 23,66.249.66.361,1,0,1,0
2019-01-31 23,40.77.167.318,5,0,5,0
2019-01-31 23,31.56.96.241,2,0,2,0
2019-01-31 23,31.56.96.285,2,0,2,0
2019-01-31 23,40.77.167.426,5,0,5,0
2019-01-31 23,91.99.72.348,1,0,1,0
2019-01-31 23,91.99.72.373,1,0,1,0
2019-01-31 23,40.77.167.493,5,0,5,0
2019-01-31 23,91.99.72.400,1,0,1,0
2019-01-31 23,31.56.96.486,2,0,2,0
2019-01-31 23,66.249.66.720,1,0,1,0
2019-01-31 23,31.56.96.703,2,0,2,0
2019-01-31 23,40.77.167.782,5,0,5,0
2019-01-31 23,31.56.96.709,2,0,2,0
2019-01-31 23,91.99.72.685,1,0,1,0
2019-01-31 23,54.36.149.812,1,0,1,0
2019-01-31 23,40.77.167.949,5,0,5,0
2019-01-31 23,31.56.96.930,2,0,2,0
2019-01-31 23,31.56.96.942,2,0,2,0
2019-01-22 3,104.194.24.33,940,940,0,0
2019-01-31 16,54.36.149.54,1,0,1,0
2019-01-31 23,54.36.149.126,1,0,1,0
2019-01-31 23,66.249.66.371,1,0,1,0
2019-01-31 23,91.99.72.207,1,0,1,0
2019-01-31 23,91.99.72.243,1,0,1,0
2019-01-31 23,54.36.149.307,1,0,1,0
2019-01-31 23,66.249.66.488,1,0,1,0
2019-01-31 23,66.249.66.577,1,0,1,0
2019-01-31 23,40.77.167.519,5,0,5,0
2019-01-31 23,31.56.96.450,2,0,2,0
2019-01-31 23,31.56.96.465,2,0,2,0
2019-01-31 23,31.56.96.472,2,0,2,0
2019-01-31 23,66.249.66.675,1,0,1,0
2019-01-31 23,31.56.96.541,2,0,2,0
2019-01-31 23,66.249.66.736,1,0,1,0
2019-01-31 23,40.77.167.687,5,0,5,0
2019-01-31 23,40.77.167.715,5,0,5,0
2019-01-31 23,91.99.72.637,1,0,1,0
2019-01-31 23,40.77.167.760,5,0,5,0
2019-01-31 23,31.56.96.812,2,0,2,0
2019-01-31 23,40.77.167.967,5,0,5,0
2019-01-31 23,91.99.72.910,1,0,1,0
2019-01-31 23,91.99.72.48,1,0,1,0
2019-01-31 23,54.36.149.75,1,0,1,0
2019-01-31 23,54.36.149.93,1,0,1,0
2019-01-31 23,31.56.96.137,2,0,2,0
2019-01-31 23,40.77.167.275,5,0,5,0
2019-01-31 23,54.36.149.222,1,0,1,0
2019-01-31 23,66.249.66.390,1,0,1,0
2019-01-31 23,31.56.96.276,2,0,2,0
2019-01-31 23,31.56.96.304,2,0,2,0
2019-01-31 23,54.36.149.341,1,0,1,0
2019-01-31 23,91.99.72.319,1,0,1,0
2019-01-31 23,54.36.149.352,1,0,1,0
2019-01-31 23,40.77.167.500,5,0,5,0
2019-01-31 23,66.249.66.608,1,0,1,0
2019-01-31 23,40.77.167.577,5,0,5,0
2019-01-31 23,40.77.167.604,5,0,5,0
2019-01-31 23,31.56.96.556,2,0,2,0
2019-01-31 23,66.249.66.760,1,0,1,0
2019-01-31 23,54.36.149.633,1,0,1,0
2019-01-31 23,91.99.72.654,1,0,1,0
2019-01-31 23,91.99.72.701,1,0,1,0
2019-01-31 23,40.77.167.844,5,0,5,0
2019-01-31 23,54.36.149.768,1,0,1,0
2019-01-31 23,91.99.72.868,1,0,1,0
2019-01-31 23,66.249.66.1074,1,0,1,0
2019-01-31 23,66.249.66.1093,1,0,1,0
2019-01-31 23,66.249.66.1125,1,0,1,0
2019-01-31 23,66.249.66.1127,1,0,1,0
2019-01-31 23,66.249.66.1002,1,0,1,0
2019-01-31 23,31.56.96.152,2,0,2,0
2019-01-31 23,91.99.72.123,1,0,1,0
2019-01-31 23,54.36.149.218,1,0,1,0
2019-01-31 23,91.99.72.212,1,0,1,0
2019-01-31 23,91.99.72.220,1,0,1,0
2019-01-31 23,31.56.96.275,2,0,2,0
2019-01-31 23,40.77.167.403,5,0,5,0
2019-01-31 23,31.56.96.391,2,0,2,0
2019-01-31 23,91.99.72.384,1,0,1,0
2019-01-31 23,40.77.167.556,5,0,5,0
2019-01-31 23,31.56.96.508,2,0,2,0
2019-01-31 23,54.36.149.528,1,0,1,0
2019-01-31 23,66.249.66.681,1,0,1,0
2019-01-31 23,91.99.72.522,1,0,1,0
2019-01-31 23,40.77.167.672,5,0,5,0
2019-01-31 23,54.36.149.591,1,0,1,0
2019-01-31 23,66.249.66.805,1,0,1,0
2019-01-31 23,40.77.167.783,5,0,5,0
2019-01-31 23,91.99.72.671,1,0,1,0
2019-01-31 23,66.249.66.858,1,0,1,0
2019-01-31 23,54.36.149.714,1,0,1,0
2019-01-31 23,54.36.149.778,1,0,1,0
2019-01-31 23,91.99.72.803,1,0,1,0
2019-01-31 23,91.99.72.809,1,0,1,0
2019-01-31 23,66.249.66.1018,1,0,1,0
2019-01-31 23,31.56.96.882,2,0,2,0
2019-01-31 23,54.36.149.875,1,0,1,0
2019-01-31 23,91.99.72.865,1,0,1,0
2019-01-31 23,54.36.149.71,1,0,1,0
2019-01-31 23,54.36.149.235,1,0,1,0
2019-01-31 23,54.36.149.260,1,0,1,0
2019-01-31 23,54.36.149.281,1,0,1,0
2019-01-31 23,31.56.96.298,2,0,2,0
2019-01-31 23,66.249.66.449,1,0,1,0
2019-01-31 23,40.77.167.483,5,0,5,0
2019-01-31 23,40.77.167.499,5,0,5,0
2019-01-31 23,40.77.167.538,5,0,5,0
2019-01-31 23,66.249.66.627,1,0,1,0
2019-01-31 23,91.99.72.508,1,0,1,0
2019-01-31 23,40.77.167.655,5,0,5,0
2019-01-31 23,54.36.149.590,1,0,1,0
2019-01-31 23,40.77.167.692,5,0,5,0
2019-01-31 23,54.36.149.617,1,0,1,0
2019-01-31 23,31.56.96.631,2,0,2,0
2019-01-31 23,54.36.149.630,1,0,1,0
2019-01-31 23,40.77.167.744,5,0,5,0
2019-01-31 23,40.77.167.776,5,0,5,0
2019-01-31 23,91.99.72.823,1,0,1,0
2019-01-31 23,40.77.167.1035,5,0,5,0
2019-01-31 23,91.99.72.921,1,0,1,0
2019-01-31 23,40.77.167.1040,5,0,5,0
2019-01-31 23,91.99.72.948,1,0,1,0
2019-01-31 23,66.249.66.1000,1,0,1,0
2019-01-31 23,54.36.149.120,1,0,1,0
2019-01-31 23,31.56.96.177,2,0,2,0
2019-01-31 23,54.36.149.201,1,0,1,0
2019-01-31 23,40.77.167.301,5,0,5,0
2019-01-31 23,66.249.66.382,1,0,1,0
2019-01-31 23,91.99.72.204,1,0,1,0
2019-01-31 23,40.77.167.388,5,0,5,0
2019-01-31 23,40.77.167.404,5,0,5,0
2019-01-31 23,40.77.167.433,5,0,5,0
2019-01-31 23,31.56.96.361,2,0,2,0
2019-01-31 23,91.99.72.356,1,0,1,0
2019-01-31 23,54.36.149.398,1,0,1,0
2019-01-31 23,40.77.167.504,5,0,5,0
2019-01-31 23,66.249.66.573,1,0,1,0
2019-01-31 23,54.36.149.460,1,0,1,0
2019-01-31 23,66.249.66.740,1,0,1,0
2019-01-31 23,54.36.149.608,1,0,1,0
2019-01-31 23,66.249.66.802,1,0,1,0
2019-01-31 23,40.77.167.753,5,0,5,0
2019-01-31 23,40.77.167.777,5,0,5,0
2019-01-31 23,54.36.149.694,1,0,1,0
2019-01-31 23,54.36.149.828,1,0,1,0
2019-01-31 23,91.99.72.880,1,0,1,0
2019-01-31 23,66.249.66.1104,1,0,1,0
2019-01-31 23,31.56.96.966,2,0,2,0
2019-01-26 7,66.249.66.198,1,0,1,0
2019-01-31 23,91.99.72.43,1,0,1,0
2019-01-31 23,54.36.149.146,1,0,1,0
2019-01-31 23,40.77.167.248,5,0,5,0
2019-01-31 23,31.56.96.255,2,0,2,0
2019-01-31 23,91.99.72.258,1,0,1,0
2019-01-31 23,91.99.72.262,1,0,1,0
2019-01-31 23,40.77.167.555,5,0,5,0
2019-01-31 23,66.249.66.633,1,0,1,0
2019-01-31 23,40.77.167.633,5,0,5,0
2019-01-31 23,54.36.149.604,1,0,1,0
2019-01-31 23,54.36.149.705,1,0,1,0
2019-01-31 23,31.56.96.721,2,0,2,0
2019-01-31 23,66.249.66.882,1,0,1,0
2019-01-31 23,66.249.66.895,1,0,1,0
2019-01-31 23,31.56.96.776,2,0,2,0
2019-01-31 23,40.77.167.863,5,0,5,0
2019-01-31 23,31.56.96.803,2,0,2,0
2019-01-31 23,91.99.72.838,1,0,1,0
2019-01-31 23,91.99.72.844,1,0,1,0
2019-01-31 23,54.36.149.876,1,0,1,0
