day_hour,clientip,count_Row,Get,Post,Head
2019-01-22 3,91.99.72.578,2,2,0,0
2019-01-22 5,91.99.72.6,2,1,1,0
2019-01-22 11,91.99.72.708,1,1,0,0
2019-01-22 7,91.99.72.744,1,1,0,0
2019-01-22 9,91.99.72.974,1,1,0,0
2019-01-22 0,207.46.13.786,1,1,0,0
2019-01-22 0,5.209.200.246,1,1,0,0
2019-01-22 1,5.209.200.284,1,1,0,0
2019-01-22 0,5.211.97.698,1,1,0,0
2019-01-22 3,5.211.97.768,1,1,0,0
2019-01-22 1,5.211.97.795,1,1,0,0
2019-01-22 7,66.111.54.145,1,1,0,0
2019-01-22 1,66.111.54.182,1,1,0,0
2019-01-22 2,66.111.54.425,1,1,0,0
2019-01-22 0,66.111.54.929,1,1,0,0
2019-01-22 1,66.249.66.280,1,1,0,0
2019-01-22 2,66.249.66.633,1,1,0,0
2019-01-22 8,66.249.66.717,2,2,0,0
2019-01-22 3,66.249.66.720,1,1,0,0
2019-01-22 7,66.249.66.838,2,2,0,0
2019-01-22 4,66.249.66.842,1,1,0,0
2019-01-22 5,66.249.66.842,1,1,0,0
2019-01-22 4,66.249.66.879,1,1,0,0
2019-01-22 3,66.249.66.896,1,1,0,0
2019-01-22 0,66.249.66.927,2,1,1,0
2019-01-22 3,66.249.66.948,1,1,0,0
2019-01-22 10,91.99.72.150,1,1,0,0
2019-01-22 11,91.99.72.191,1,0,1,0
2019-01-22 5,91.99.72.313,1,0,1,0
2019-01-22 1,91.99.72.644,2,2,0,0
2019-01-22 4,91.99.72.687,1,1,0,0
2019-01-22 6,91.99.72.817,1,1,0,0
2019-01-22 5,91.99.72.864,1,1,0,0
2019-01-22 8,2.177.12.163,1,1,0,0
2019-01-22 10,2.177.12.200,1,1,0,0
2019-01-22 2,2.177.12.253,1,1,0,0
2019-01-22 1,2.177.12.455,1,1,0,0
2019-01-22 10,2.177.12.460,2,2,0,0
2019-01-22 9,2.177.12.496,1,1,0,0
2019-01-22 8,2.177.12.548,1,1,0,0
2019-01-22 6,2.177.12.584,1,1,0,0
2019-01-22 2,2.177.12.654,1,1,0,0
2019-01-22 6,2.177.12.679,1,1,0,0
2019-01-22 8,2.177.12.740,1,1,0,0
2019-01-22 1,2.177.12.748,1,1,0,0
2019-01-22 5,2.177.12.965,1,1,0,0
2019-01-22 0,204.18.198.17,1,1,0,0
2019-01-18 9,204.18.198.248,1,0,1,0
2019-01-20 4,204.18.198.248,1,0,1,0
2019-01-31 4,204.18.198.248,1,0,1,0
2019-01-22 8,204.18.198.423,1,1,0,0
2019-01-22 10,204.18.198.555,1,1,0,0
2019-01-22 1,204.18.198.809,1,1,0,0
2019-01-22 4,207.46.13.153,1,1,0,0
2019-01-22 7,207.46.13.22,1,1,0,0
2019-01-22 8,207.46.13.275,1,1,0,0
2019-01-22 2,207.46.13.707,1,1,0,0
2019-01-22 10,207.46.13.939,1,1,0,0
2019-01-22 8,31.56.96.160,1,1,0,0
2019-01-22 0,31.56.96.231,1,1,0,0
2019-01-22 1,40.77.167.120,1,1,0,0
2019-01-22 3,40.77.167.129,5,4,1,0
2019-01-22 3,40.77.167.540,1,1,0,0
2019-01-22 11,40.77.167.988,1,1,0,0
2019-01-22 7,5.209.200.152,1,1,0,0
2019-01-22 7,5.209.200.208,1,1,0,0
2019-01-22 6,5.209.200.260,1,1,0,0
2019-01-22 11,5.209.200.332,1,1,0,0
2019-01-22 9,5.209.200.409,1,1,0,0
2019-01-22 11,5.209.200.709,1,1,0,0
2019-01-22 11,5.209.200.732,1,1,0,0
2019-01-22 9,5.209.200.780,1,1,0,0
2019-01-22 7,5.209.200.833,1,1,0,0
2019-01-22 2,5.209.200.895,1,1,0,0
2019-01-22 8,5.209.200.933,1,1,0,0
2019-01-22 3,5.211.97.328,1,1,0,0
2019-01-22 1,5.211.97.334,1,1,0,0
2019-01-22 1,5.211.97.45,1,1,0,0
2019-01-22 8,5.211.97.543,1,1,0,0
2019-01-22 1,5.211.97.6,1,1,0,0
2019-01-22 5,5.211.97.617,1,1,0,0
2019-01-22 5,5.211.97.691,1,1,0,0
2019-01-22 9,5.211.97.797,1,1,0,0
2019-01-22 11,5.211.97.854,1,1,0,0
2019-01-22 6,5.211.97.86,1,1,0,0
2019-01-21 8,5.62.206.240,1,1,0,0
2019-01-19 11,5.62.206.578,1,1,0,0
2019-01-19 8,5.62.206.612,1,1,0,0
2019-01-18 7,5.62.206.634,1,1,0,0
2019-01-19 9,5.62.206.735,1,1,0,0
2019-01-22 9,5.78.198.389,1,1,0,0
2019-01-22 6,5.78.198.53,1,1,0,0
2019-01-22 10,5.78.198.662,2,1,1,0
2019-01-22 5,5.78.198.830,1,1,0,0
2019-01-22 8,5.78.198.913,1,0,1,0
2019-01-22 9,54.36.148.178,1,1,0,0
2019-01-22 0,54.36.148.220,1,1,0,0
2019-01-10 1,54.36.148.349,1,1,0,0
2019-01-22 8,54.36.148.455,1,1,0,0
2019-01-22 9,54.36.148.473,1,1,0,0
2019-01-15 3,54.36.148.498,1,1,0,0
2019-01-13 8,54.36.148.528,1,1,0,0
2019-01-22 10,54.36.148.53,1,1,0,0
2019-01-22 1,54.36.148.560,1,1,0,0
2019-01-22 7,54.36.148.638,1,1,0,0
2019-01-17 10,54.36.148.662,1,1,0,0
2019-01-26 9,54.36.148.688,1,1,0,0
2019-01-22 9,54.36.148.704,1,1,0,0
2019-01-26 3,54.36.148.749,1,1,0,0
2019-01-22 6,66.111.54.113,1,1,0,0
2019-01-22 6,66.111.54.131,1,1,0,0
2019-01-22 6,66.111.54.390,1,1,0,0
2019-01-22 4,66.111.54.462,1,1,0,0
2019-01-22 11,66.111.54.465,1,1,0,0
2019-01-22 9,66.111.54.571,1,1,0,0
2019-01-22 5,66.111.54.58,1,1,0,0
2019-01-22 10,66.111.54.745,1,1,0,0
2019-01-22 6,66.111.54.754,1,1,0,0
2019-01-22 7,66.111.54.849,1,1,0,0
2019-01-22 2,66.111.54.956,1,1,0,0
2019-01-22 0,66.111.54.960,2,2,0,0
2019-01-22 4,66.249.66.103,2,2,0,0
2019-01-22 5,66.249.66.103,1,1,0,0
2019-01-22 6,66.249.66.131,1,1,0,0
2019-01-22 10,66.249.66.220,1,0,1,0
2019-01-22 3,66.249.66.233,1,1,0,0
2019-01-22 8,66.249.66.27,1,1,0,0
2019-01-22 9,66.249.66.288,2,1,1,0
2019-01-22 1,66.249.66.354,2,2,0,0
2019-01-22 1,66.249.66.421,1,1,0,0
2019-01-22 8,66.249.66.566,1,1,0,0
2019-01-22 0,66.249.66.809,1,1,0,0
2019-01-22 2,66.249.66.826,1,1,0,0
2019-01-18 3,66.249.66.91,1,1,0,0
2019-01-20 3,66.249.66.91,1,1,0,0
2019-01-22 0,66.249.66.913,1,1,0,0
2019-01-22 4,91.99.72.338,1,1,0,0
2019-01-22 6,91.99.72.415,1,0,1,0
2019-01-22 8,91.99.72.418,1,0,1,0
2019-01-22 0,91.99.72.427,1,1,0,0
2019-01-22 1,91.99.72.550,1,0,1,0
2019-01-22 11,91.99.72.673,1,0,1,0
2019-01-22 3,91.99.72.957,1,1,0,0
2019-01-22 5,91.99.72.979,1,0,1,0
2019-01-22 2,2.177.12.734,1,1,0,0
2019-01-22 1,40.77.167.891,1,1,0,0
2019-01-22 0,5.209.200.216,1,1,0,0
2019-01-22 2,5.211.97.292,1,1,0,0
2019-01-22 2,5.78.198.829,1,0,1,0
2019-01-24 8,54.36.148.761,1,1,0,0
2019-01-22 3,54.36.148.780,1,1,0,0
2019-01-22 3,66.111.54.359,1,1,0,0
2019-01-22 7,66.111.54.593,1,1,0,0
2019-01-22 2,66.249.66.135,1,1,0,0
2019-01-22 11,66.249.66.186,1,1,0,0
2019-01-22 10,66.249.66.208,1,0,1,0
2019-01-22 0,66.249.66.228,1,1,0,0
2019-01-22 5,66.249.66.294,1,0,1,0
2019-01-22 3,66.249.66.352,1,1,0,0
2019-01-22 4,66.249.66.388,1,0,1,0
2019-01-22 3,66.249.66.643,2,2,0,0
2019-01-22 2,66.249.66.647,2,2,0,0
2019-01-22 7,66.249.66.712,1,1,0,0
2019-01-22 2,66.249.66.787,1,1,0,0
2019-01-22 6,66.249.66.846,1,0,1,0
2019-01-22 0,66.249.66.860,2,1,1,0
2019-01-22 7,66.249.66.880,1,0,1,0
2019-01-22 2,91.99.72.351,1,1,0,0
2019-01-22 2,91.99.72.76,1,0,1,0
2019-01-22 2,2.177.12.136,1,1,0,0
2019-01-15 3,2.177.12.140,1,1,0,0
2019-01-27 3,2.177.12.140,1,1,0,0
2019-01-22 4,2.177.12.240,1,1,0,0
2019-01-22 6,2.177.12.334,1,1,0,0
2019-01-22 7,2.177.12.337,1,1,0,0
2019-01-22 7,2.177.12.389,1,1,0,0
2019-01-22 8,2.177.12.54,1,1,0,0
2019-01-22 10,2.177.12.57,1,1,0,0
2019-01-22 4,2.177.12.653,1,1,0,0
2019-01-22 2,2.177.12.700,1,1,0,0
2019-01-22 11,2.177.12.932,1,1,0,0
2019-01-22 7,2.179.141.119,1,0,1,0
2019-01-22 8,2.179.141.186,1,0,1,0
2019-01-22 5,2.179.141.635,1,0,1,0
2019-01-22 8,2.179.141.647,1,0,1,0
2019-01-22 0,2.179.141.882,1,0,1,0
2019-01-22 6,2.179.141.882,1,0,1,0
2019-01-22 9,204.18.198.210,1,1,0,0
2019-01-30 6,204.18.198.248,1,0,1,0
2019-01-22 9,204.18.198.550,1,1,0,0
2019-01-22 9,204.18.198.8,1,1,0,0
2019-01-22 0,204.18.198.820,1,1,0,0
2019-01-22 4,207.46.13.104,1,0,1,0
2019-01-22 11,207.46.13.326,1,1,0,0
2019-01-22 6,207.46.13.728,1,1,0,0
2019-01-22 10,207.46.13.945,1,1,0,0
2019-01-22 6,31.56.96.219,1,1,0,0
2019-01-22 9,31.56.96.43,1,1,0,0
2019-01-22 9,31.56.96.502,1,1,0,0
2019-01-22 8,31.56.96.898,1,1,0,0
2019-01-22 7,31.56.96.956,1,1,0,0
2019-01-22 6,31.56.96.981,1,1,0,0
2019-01-22 10,40.77.167.354,1,1,0,0
2019-01-22 10,40.77.167.499,1,1,0,0
2019-01-22 3,40.77.167.620,1,1,0,0
2019-01-22 3,40.77.167.826,1,1,0,0
2019-01-22 0,5.209.200.137,1,1,0,0
2019-01-22 2,5.209.200.514,1,1,0,0
2019-01-22 11,5.209.200.519,1,1,0,0
2019-01-22 2,5.209.200.649,1,1,0,0
2019-01-22 5,5.209.200.762,1,1,0,0
2019-01-22 9,5.209.200.969,1,1,0,0
2019-01-22 5,5.211.97.108,1,1,0,0
2019-01-22 10,5.211.97.242,1,1,0,0
2019-01-22 4,5.211.97.314,1,1,0,0
2019-01-29 8,5.211.97.39,1,0,1,0
2019-01-30 7,5.211.97.39,1,0,1,0
2019-01-22 11,5.211.97.42,1,1,0,0
2019-01-22 5,5.211.97.508,1,1,0,0
2019-01-22 9,5.211.97.55,1,1,0,0
2019-01-22 9,5.211.97.577,1,1,0,0
2019-01-22 4,5.211.97.740,1,1,0,0
2019-01-22 6,5.211.97.905,1,1,0,0
2019-01-22 10,5.211.97.950,1,1,0,0
2019-01-19 11,5.62.206.388,1,1,0,0
2019-01-31 11,5.62.206.787,1,1,0,0
2019-01-31 9,5.62.206.894,1,1,0,0
2019-01-22 0,5.78.198.29,1,0,1,0
2019-01-22 8,5.78.198.325,1,1,0,0
2019-01-22 10,5.78.198.385,1,0,1,0
2019-01-22 4,5.78.198.450,1,0,1,0
2019-01-22 6,5.78.198.569,1,0,1,0
2019-01-22 0,54.36.148.20,1,1,0,0
2019-01-21 9,54.36.148.212,1,1,0,0
2019-01-14 4,54.36.148.655,1,1,0,0
2019-01-10 2,54.36.148.693,1,1,0,0
2019-01-22 10,54.36.148.715,1,1,0,0
2019-01-22 7,54.36.148.805,1,1,0,0
2019-01-22 7,54.36.148.942,1,1,0,0
2019-01-22 6,54.36.149.17,1,0,1,0
2019-01-22 11,66.111.54.209,1,1,0,0
2019-01-22 7,66.111.54.226,1,1,0,0
2019-01-22 6,66.111.54.297,1,1,0,0
2019-01-22 6,66.111.54.309,1,1,0,0
2019-01-22 3,66.111.54.313,1,1,0,0
2019-01-22 8,66.111.54.320,1,1,0,0
2019-01-22 2,66.111.54.321,1,1,0,0
2019-01-22 0,66.111.54.322,1,1,0,0
2019-01-22 0,66.111.54.59,1,1,0,0
2019-01-22 0,66.111.54.629,1,1,0,0
2019-01-22 6,66.111.54.664,1,1,0,0
2019-01-22 9,66.111.54.691,2,2,0,0
2019-01-22 9,66.111.54.751,1,1,0,0
2019-01-22 5,66.111.54.769,1,1,0,0
2019-01-22 0,66.111.54.802,1,1,0,0
2019-01-22 7,66.111.54.893,1,1,0,0
2019-01-22 11,66.111.54.995,1,1,0,0
2019-01-22 7,66.249.66.162,1,1,0,0
2019-01-11 1,66.249.66.194,1,0,1,0
2019-01-14 1,66.249.66.194,1,0,1,0
2019-01-22 9,66.249.66.258,1,1,0,0
2019-01-22 11,66.249.66.356,2,2,0,0
2019-01-22 11,66.249.66.392,2,2,0,0
2019-01-22 7,66.249.66.403,1,1,0,0
2019-01-22 6,66.249.66.425,1,1,0,0
2019-01-22 9,66.249.66.470,1,0,1,0
2019-01-22 9,66.249.66.474,1,1,0,0
2019-01-22 9,66.249.66.50,1,0,1,0
2019-01-22 3,66.249.66.512,1,1,0,0
2019-01-22 8,66.249.66.512,1,1,0,0
2019-01-22 1,66.249.66.532,1,1,0,0
2019-01-22 8,66.249.66.569,1,1,0,0
2019-01-22 11,66.249.66.595,1,1,0,0
2019-01-22 1,66.249.66.615,2,2,0,0
2019-01-22 0,66.249.66.620,1,1,0,0
2019-01-22 9,66.249.66.720,1,1,0,0
2019-01-22 11,66.249.66.88,1,0,1,0
2019-01-22 4,66.249.66.915,1,0,1,0
2019-01-22 7,91.99.72.174,1,1,0,0
2019-01-22 8,91.99.72.248,2,1,1,0
2019-01-22 5,91.99.72.365,1,1,0,0
2019-01-22 10,91.99.72.440,1,1,0,0
2019-01-22 8,91.99.72.455,2,1,1,0
2019-01-22 6,91.99.72.59,1,1,0,0
2019-01-22 4,91.99.72.593,1,1,0,0
2019-01-22 9,91.99.72.610,2,2,0,0
2019-01-22 1,91.99.72.689,1,0,1,0
2019-01-22 5,91.99.72.734,1,1,0,0
2019-01-22 3,91.99.72.804,1,1,0,0
2019-01-22 11,91.99.72.883,1,0,1,0
2019-01-22 10,5.211.97.328,1,1,0,0
2019-01-22 10,5.211.97.453,1,1,0,0
2019-01-22 1,5.78.198.778,1,1,0,0
2019-01-22 1,5.78.198.972,1,1,0,0
2019-01-22 2,66.111.54.380,1,1,0,0
2019-01-22 10,66.111.54.478,1,1,0,0
2019-01-22 1,66.111.54.76,1,1,0,0
2019-01-22 11,66.249.66.179,1,1,0,0
2019-01-22 1,66.249.66.198,2,2,0,0
2019-01-22 3,66.249.66.356,1,1,0,0
2019-01-22 0,66.249.66.471,1,0,1,0
2019-01-22 0,66.249.66.548,1,0,1,0
2019-01-22 0,66.249.66.559,1,1,0,0
2019-01-22 2,66.249.66.592,1,1,0,0
2019-01-22 9,66.249.66.707,1,1,0,0
2019-01-22 7,66.249.66.744,2,2,0,0
2019-01-22 4,66.249.66.764,2,2,0,0
2019-01-22 8,66.249.66.818,1,1,0,0
2019-01-22 5,66.249.66.880,1,1,0,0
2019-01-22 5,66.249.66.971,1,1,0,0
2019-01-22 5,66.249.66.983,1,1,0,0
2019-01-22 11,91.99.72.367,1,1,0,0
2019-01-22 9,91.99.72.38,2,1,1,0
2019-01-22 2,91.99.72.53,1,0,1,0
2019-01-22 8,91.99.72.832,1,1,0,0
2019-01-22 4,91.99.72.86,1,1,0,0
2019-01-22 5,91.99.72.883,1,0,1,0
2019-01-22 11,2.177.12.208,1,1,0,0
2019-01-22 3,2.177.12.249,1,1,0,0
2019-01-22 4,2.177.12.332,1,1,0,0
2019-01-22 0,2.177.12.356,1,1,0,0
2019-01-22 9,2.177.12.368,1,1,0,0
2019-01-22 7,2.177.12.404,1,1,0,0
2019-01-22 2,2.177.12.636,1,1,0,0
2019-01-22 9,2.177.12.684,1,1,0,0
2019-01-22 7,2.177.12.752,1,1,0,0
2019-01-22 9,2.177.12.939,1,1,0,0
2019-01-22 10,2.177.12.970,1,1,0,0
2019-01-22 4,2.179.141.414,1,0,1,0
2019-01-22 6,2.179.141.629,1,0,1,0
2019-01-22 6,2.179.141.738,1,0,1,0
2019-01-22 3,2.185.301.79,1,1,0,0
2019-01-22 5,204.18.198.113,1,1,0,0
2019-01-22 9,204.18.198.225,1,1,0,0
2019-01-25 8,204.18.198.248,1,0,1,0
2019-01-22 0,204.18.198.844,1,1,0,0
2019-01-22 3,204.18.198.981,1,1,0,0
2019-01-11 3,207.46.13.115,2,2,0,0
2019-01-17 3,207.46.13.115,2,2,0,0
2019-01-22 3,207.46.13.536,1,1,0,0
2019-01-22 8,207.46.13.995,1,1,0,0
2019-01-22 0,31.56.96.19,1,1,0,0
2019-01-22 11,31.56.96.195,1,1,0,0
2019-01-16 3,31.56.96.51,1,1,0,0
2019-01-22 7,31.56.96.619,1,1,0,0
2019-01-22 3,31.56.96.650,1,1,0,0
2019-01-22 11,31.56.96.81,1,1,0,0
2019-01-22 1,31.56.96.959,1,1,0,0
2019-01-22 2,40.77.167.269,1,1,0,0
2019-01-22 5,40.77.167.276,1,1,0,0
2019-01-22 6,40.77.167.376,1,1,0,0
2019-01-22 7,40.77.167.773,1,1,0,0
2019-01-22 11,40.77.167.850,1,1,0,0
2019-01-22 2,40.77.167.852,1,1,0,0
2019-01-22 8,5.209.200.169,1,1,0,0
2019-01-22 2,5.209.200.231,1,1,0,0
2019-01-22 8,5.209.200.465,1,1,0,0
2019-01-22 9,5.209.200.506,1,1,0,0
2019-01-22 3,5.209.200.578,1,1,0,0
2019-01-22 11,5.209.200.758,1,1,0,0
2019-01-22 3,5.209.200.85,1,1,0,0
2019-01-22 0,5.209.200.910,1,1,0,0
2019-01-22 7,5.209.200.914,1,1,0,0
2019-01-22 1,5.209.200.939,1,1,0,0
2019-01-22 4,5.209.200.986,1,1,0,0
2019-01-22 5,5.209.200.991,1,1,0,0
2019-01-22 9,5.211.97.494,1,1,0,0
2019-01-22 1,5.211.97.555,1,1,0,0
2019-01-22 7,5.211.97.646,1,1,0,0
2019-01-22 11,5.211.97.668,1,1,0,0
2019-01-22 8,5.211.97.721,1,1,0,0
2019-01-22 7,5.211.97.847,1,1,0,0
2019-01-22 9,5.211.97.905,1,1,0,0
2019-01-10 4,5.62.206.321,1,1,0,0
2019-01-13 6,5.62.206.410,1,1,0,0
2019-01-27 5,5.62.206.673,1,1,0,0
2019-01-26 2,5.62.206.685,1,1,0,0
2019-01-21 1,5.62.206.937,1,1,0,0
2019-01-22 7,5.78.198.253,1,1,0,0
2019-01-22 11,5.78.198.329,1,1,0,0
2019-01-22 7,5.78.198.52,4,1,3,0
2019-01-22 10,5.78.198.612,1,0,1,0
2019-01-22 6,5.78.198.791,1,1,0,0
2019-01-22 9,54.36.148.118,1,1,0,0
2019-01-22 11,54.36.148.36,1,1,0,0
2019-01-23 8,54.36.148.501,1,1,0,0
2019-01-22 0,54.36.148.710,1,1,0,0
2019-01-22 5,54.36.148.711,1,1,0,0
2019-01-22 2,54.36.148.798,1,1,0,0
2019-01-29 11,54.36.148.798,1,1,0,0
2019-01-22 0,54.36.148.883,1,1,0,0
2019-01-22 8,54.36.148.956,1,1,0,0
2019-01-22 8,66.111.54.210,1,1,0,0
2019-01-22 7,66.111.54.22,1,1,0,0
2019-01-10 3,66.111.54.249,4,4,0,0
2019-01-22 4,66.111.54.277,1,1,0,0
2019-01-22 3,66.111.54.416,1,1,0,0
2019-01-22 9,66.111.54.513,1,1,0,0
2019-01-22 0,66.111.54.619,1,1,0,0
2019-01-22 7,66.111.54.645,1,1,0,0
2019-01-22 10,66.111.54.675,1,1,0,0
2019-01-22 6,66.111.54.937,1,1,0,0
2019-01-22 7,66.111.54.967,1,1,0,0
2019-01-22 6,66.249.66.106,2,2,0,0
2019-01-22 11,66.249.66.122,1,1,0,0
2019-01-22 6,66.249.66.155,1,1,0,0
2019-01-15 3,66.249.66.194,4,3,1,0
2019-01-19 2,66.249.66.194,1,0,1,0
2019-01-19 4,66.249.66.194,1,0,1,0
2019-01-23 7,66.249.66.194,1,0,1,0
2019-01-22 6,66.249.66.199,1,1,0,0
2019-01-22 5,66.249.66.20,1,1,0,0
2019-01-22 11,66.249.66.209,1,1,0,0
2019-01-22 1,66.249.66.213,1,1,0,0
2019-01-22 1,66.249.66.215,1,1,0,0
2019-01-22 6,66.249.66.250,1,1,0,0
2019-01-22 5,66.249.66.305,2,2,0,0
2019-01-22 8,66.249.66.306,1,1,0,0
2019-01-22 9,66.249.66.310,1,1,0,0
2019-01-22 4,66.249.66.316,2,2,0,0
2019-01-22 5,66.249.66.332,2,2,0,0
2019-01-22 11,66.249.66.387,1,1,0,0
2019-01-22 5,66.249.66.467,1,1,0,0
2019-01-22 5,66.249.66.620,1,1,0,0
2019-01-22 8,66.249.66.629,1,1,0,0
2019-01-22 11,66.249.66.71,1,1,0,0
2019-01-22 10,66.249.66.797,2,2,0,0
2019-01-22 9,66.249.66.892,1,1,0,0
